last seen position,churned_trial_users,churned_paid_users,active_paid_users
Welcome to the Nanodegree::Welcome to MLND::1,134,20,10
Welcome to the Nanodegree::Program Readiness::2,56,12,12
Welcome to the Nanodegree::What is Machine Learning?::3,49,4,4
Welcome to the Nanodegree::Matrix times Vector::3,137,27,14
Welcome to the Nanodegree::Machine Learning vs. Traditional Coding::4,20,1,4
Welcome to the Nanodegree::Differentiate w.r.t. x::4,45,12,7
Welcome to the Nanodegree::Applications of Machine Learning::5,25,6,1
Welcome to the Nanodegree::Connections to GA Tech::6,16,2,
Welcome to the Nanodegree::Program Outline::7,23,1,10
Welcome to the Nanodegree::Count words in Python::7,222,58,26
Welcome to the Nanodegree::What is Machine Learning?::8,49,4,4
Welcome to the Nanodegree::Introduction to Machine Learning::8,,,2
Welcome to the Nanodegree::Machine Learning vs. Traditional Coding::9,20,1,4
Welcome to the Nanodegree::Decision Trees::9,1,,
Welcome to the Nanodegree::Applications of Machine Learning::10,25,6,1
Welcome to the Nanodegree::Decision Trees Quiz::10,,,
Welcome to the Nanodegree::Decision Trees Answer::11,2,,
Welcome to the Nanodegree::Connections to GA Tech::11,16,2,
Welcome to the Nanodegree::Program Outline::12,23,1,10
Welcome to the Nanodegree::Naive Bayes::12,2,,1
Welcome to the Nanodegree::Naive Bayes Quiz::13,,,
Welcome to the Nanodegree::Let's Get Started::13,26,10,3
Welcome to the Nanodegree::Getting Started with Machine Learning::14,39,15,2
Welcome to the Nanodegree::Naive Bayes Answer::14,1,,2
Welcome to the Nanodegree::Introduction to Artificial Intelligence::15,20,8,3
Welcome to the Nanodegree::Gradient Descent::15,1,,1
Welcome to the Nanodegree::Linear Regression::16,2,,
Welcome to the Nanodegree::Conundrums in AI::16,38,5,2
Welcome to the Nanodegree::Characteristics of AI Problems::17,29,9,1
Welcome to the Nanodegree::Linear Regression Quiz::17,,,
Welcome to the Nanodegree::AI and Uncertainty::18,18,3,1
Welcome to the Nanodegree::Linear Regression Answer::18,1,,
Welcome to the Nanodegree::Exercise: What are AI Problems?::19,23,2,2
Welcome to the Nanodegree::Logistic Regression::19,1,,
Welcome to the Nanodegree::Logistic Regression Quiz::20,,,
Welcome to the Nanodegree::Exercise: AI in Practice: Watson::20,21,3,2
Welcome to the Nanodegree::What is Knowledge-Based AI?::21,36,10,1
Welcome to the Nanodegree::Logistic Regression Answer::21,1,,1
Welcome to the Nanodegree::Support Vector Machines::22,2,,
Welcome to the Nanodegree::Foundations: The Four Schools of AI::22,32,5,4
Welcome to the Nanodegree::Exercise: What is KBAI?::23,6,2,2
Welcome to the Nanodegree::Support Vector Machines Quiz::23,,,
Welcome to the Nanodegree::Exercise: The Four Schools of AI::24,12,3,
Welcome to the Nanodegree::Support Vector Machines Answer::24,1,,
Welcome to the Nanodegree::Neural Networks::25,5,,2
Welcome to the Nanodegree::Bayes Rule Intro::25,14,5,4
Welcome to the Nanodegree::Kernel Method::26,1,,2
Welcome to the Nanodegree::Bayes Rule::26,32,6,2
Welcome to the Nanodegree::Kernel Method Quiz::27,,,
Welcome to the Nanodegree::Exercise: Bayes Network::27,27,4,3
Welcome to the Nanodegree::Kernel Method Answer::28,1,,
Welcome to the Nanodegree::Machine Learning and Data Science::28,9,1,1
Welcome to the Nanodegree::Recap and Challenge::29,,,
Welcome to the Nanodegree::What Is a Data Scientist?::29,5,1,
Welcome to the Nanodegree::K-means Clustering::30,2,,
"Welcome to the Nanodegree::What Is a Data Scientist?, 2::30",2,1,
Welcome to the Nanodegree::Hierarchical Clustering::31,,1,
Welcome to the Nanodegree::What Does a Data Scientist Do?::31,2,,
Welcome to the Nanodegree::Outroduction::32,3,1,1
Welcome to the Nanodegree::Pi Chuan - What Is Data Science?::32,2,,1
Welcome to the Nanodegree::Before the Program Orientation::33,11,4,4
Welcome to the Nanodegree::Basic Data Scientist Skills::33,6,,1
Welcome to the Nanodegree::Problems Solved by Data Science::34,4,1,2
Welcome to the Nanodegree::Introduction::34,2,1,2
Welcome to the Nanodegree::Projects and Progress::35,15,1,1
Welcome to the Nanodegree::From AI to Machine Learning::35,4,3,
Welcome to the Nanodegree::Career Development::36,7,1,1
Welcome to the Nanodegree::Introduction::36,9,1,1
Welcome to the Nanodegree::Introduction Part II::37,10,1,2
Welcome to the Nanodegree::Connecting with Your Community::37,1,1,6
Welcome to the Nanodegree::Support from the Udacity Team::38,4,1,4
Welcome to the Nanodegree::Georgia Tech Machine Learning::38,5,,
Welcome to the Nanodegree::How Does Project Submission Work?::39,5,,3
Welcome to the Nanodegree::Definition of ML::39,13,2,3
Welcome to the Nanodegree::Supervised Learning::40,7,2,1
Welcome to the Nanodegree::Integrity and Mindset::40,3,1,
Welcome to the Nanodegree::How Do I Find Time for My Nanodegree?::41,7,,3
Welcome to the Nanodegree::Induction and Deduction::41,14,1,
"Welcome to the Nanodegree::Induction, Deduction, and Abduction::42",10,6,2
Welcome to the Nanodegree::Final Tips::42,10,4,2
Welcome to the Nanodegree::Unsupervised Learning::43,11,,
Welcome to the Nanodegree::Wrapping Up the Program Orientation::43,38,9,10
Welcome to the Nanodegree::Reinforcement Learning::44,8,1,
(Optional) Exploratory Project::Overview::44,32,8,6
(Optional) Exploratory Project::Software Requirements::45,39,9,12
Welcome to the Nanodegree::Machine Learning in Action::45,5,2,
(Optional) Exploratory Project::Starting the Project::46,81,26,30
Welcome to the Nanodegree::Stanley Darpa Grand Challenge::46,1,,
Welcome to the Nanodegree::Current Problems in Healthcare::47,2,1,
(Optional) Exploratory Project::Submitting the Project::47,114,17,42
Welcome to the Nanodegree::Cognitive Computing: Modern Applications::48,5,2,
Model Evaluation and Validation::Intro to Model Evaluation and Validation::48,38,4,7
Welcome to the Nanodegree::Introduction::49,4,3,3
Model Evaluation and Validation::Model Evaluation What You'll Watch::49,17,5,4
Welcome to the Nanodegree::Nuts and Bolts::50,1,,
Model Evaluation and Validation::Model Evaluation What You'll Learn::50,5,6,1
Model Evaluation and Validation::Course Outline - Fitting It All Together::51,1,,4
Welcome to the Nanodegree::Taxonomy::51,11,4,1
Welcome to the Nanodegree::Exercise: Supervised Learning::52,13,4,
Model Evaluation and Validation::Model Evaluation What You'll Do::52,5,2,1
Model Evaluation and Validation::Statistics Review & Supporting Libraries::53,10,2,1
Welcome to the Nanodegree::Exercise: Spam Detection::53,7,5,2
Welcome to the Nanodegree::Exercise: Classification vs. Regression::54,6,1,
Model Evaluation and Validation::Prerequisites::54,17,11,5
Model Evaluation and Validation::Which Major?::55,14,6,4
Welcome to the Nanodegree::Exercise: Linear Regression::55,9,1,
Model Evaluation and Validation::One Number to Describe Data::56,10,,1
Welcome to the Nanodegree::More Linear Regression::56,3,,1
Model Evaluation and Validation::Which Number to Choose?::57,10,,4
Welcome to the Nanodegree::Foundations: Conclusions::57,6,1,1
Model Evaluation and Validation::Mode of Dataset::58,4,,1
