part_rank,last seen position,churned_trial_users,churned_paid_users,active_paid_users
1,Welcome to the Nanodegree::Welcome to the MLND Program::1,39,5,32
1,Welcome to the Nanodegree::Welcome to the MLND program::1,716,149,61
1,Welcome to the Nanodegree::Getting Started: From Artificial Intelligence to Machine Learning::2,547,124,53
1,Welcome to the Nanodegree::What is Machine Learning?::2,33,2,14
1,Welcome to the Nanodegree::MLND Program Orientation::3,124,24,39
2,(Optional) Exploratory Project::Project Details::4,475,111,107
3,Model Evaluation and Validation::Intro: Model Evaluation and Validation::5,66,17,17
3,Model Evaluation and Validation::Prerequisites::6,27,13,6
3,Model Evaluation and Validation::Measures of Central Tendency::7,93,30,34
3,Model Evaluation and Validation::Variability of Data::8,54,25,45
3,Model Evaluation and Validation::Numpy & Pandas Tutorials::9,72,37,46
3,Model Evaluation and Validation::scikit-learn Tutorial::10,16,10,30
3,Model Evaluation and Validation::Nature of Data::11,20,7,25
3,Model Evaluation and Validation::Evaluation Metrics::11,17,6,4
3,Model Evaluation and Validation::Causes of Error::12,17,14,19
3,Model Evaluation and Validation::Datasets and Questions::12,33,18,46
3,Model Evaluation and Validation::Nature of Data & Model Building::13,5,1,
3,Model Evaluation and Validation::Training & Testing::13,8,13,14
3,Model Evaluation and Validation::Evaluation Metrics::14,22,9,41
3,Model Evaluation and Validation::Training & Testing::14,8,13,14
3,Model Evaluation and Validation::Causes of Error::15,17,14,19
3,Model Evaluation and Validation::Cross Validation::15,22,18,32
3,Model Evaluation and Validation::Representative Power of a Model::16,13,2,7
3,Model Evaluation and Validation::Learning Curves and Model Complexity::17,14,11,8
3,Model Evaluation and Validation::Project Details::18,93,61,88
3,Model Evaluation and Validation::Cross Validation::18,22,18,32
3,Model Evaluation and Validation::Project Details::19,93,61,88
4,Kaggle::Kaggle: Interview with Ben Hamner::19,26,8,12
4,MEV::Training and Testing::20,,,
4,Kaggle::Kaggle: Interview with Ben Hamner::20,26,8,12
4,MEV::Classification Metrics::21,,,
4,MEV::Regression Metrics::22,,,
4,MEV::Classification Errors::24,,,
4,MEV::Learning Curves::25,,,
4,MEV::Cross Validation::26,,,
5,Supervised Learning::Supervised Learning Intro::20,34,14,10
5,Supervised Learning::Regression & Classification::21,19,16,29
5,Supervised Learning::Supervised Learning Intro::21,34,14,10
5,Supervised Learning::Regression & Classification::22,19,16,29
5,Supervised Learning::Regressions::22,14,10,30
5,Supervised Learning::More Regressions::23,13,11,22
5,Supervised Learning::Regressions::23,14,10,30
5,Supervised Learning::More Regressions::24,13,11,22
5,Supervised Learning::Decision Trees::24,36,22,43
5,Supervised Learning::More Decision Trees::25,11,15,32
5,Supervised Learning::Decision Trees::25,36,22,43
5,Supervised Learning::More Decision Trees::26,11,15,32
5,Supervised Learning::Neural Networks::26,32,18,41
5,Kaggle::Kaggle: Interview with Ben Hamner::27,26,8,12
5,Supervised Learning::Neural Networks::27,32,18,41
5,Supervised Learning::Neural Nets Mini-Project::27,12,20,57
5,Supervised Learning::Kernel Methods & SVMs::28,19,11,21
5,Supervised Learning::Neural Nets Mini-Project::28,12,20,57
5,Supervised Learning::Kernel Methods & SVMs::29,19,11,21
5,Supervised Learning::SVM::29,13,6,16
5,Supervised Learning::Instance Based Learning::30,5,8,17
5,Supervised Learning::SVM::30,13,6,16
5,Supervised Learning::Naive Bayes::31,7,5,21
5,Supervised Learning::Instance Based Learning::31,5,8,17
5,Supervised Learning::Bayesian Learning::32,8,11,36
5,Supervised Learning::Naive Bayes::32,7,5,21
5,Supervised Learning::Bayesian Learning::33,8,11,36
5,Supervised Learning::Bayesian Inference::33,10,6,19
5,Supervised Learning::Bayes NLP Mini-Project::34,4,7,26
5,Supervised Learning::Bayesian Inference::34,10,6,19
5,Supervised Learning::Bayes NLP Mini-Project::35,4,7,26
5,Supervised Learning::Ensemble B&B::35,8,14,80
5,Supervised Learning::Ensemble B&B::36,8,14,80
5,Supervised Learning::Project Details::36,33,34,21
5,Supervised Learning::Project Details::37,1,,10
5,Supervised Learning::Project Details::37,33,34,21
6,Supervised Learning::Supervised Learning Intro::28,34,14,10
6,Supervised Learning::Regression & Classification::29,19,16,29
6,Supervised Learning::Regressions::30,14,10,30
6,Supervised Learning::More Regressions::31,13,11,22
6,Supervised Learning::Decision Trees::32,36,22,43
6,Supervised Learning::More Decision Trees::33,11,15,32
6,Supervised Learning::Neural Networks::34,32,18,41
6,Supervised Learning::Neural Nets Mini-Project::35,12,20,57
6,Supervised Learning::Kernel Methods & SVMs::36,19,11,21
6,Supervised Learning::SVM::37,13,6,16
6,Resume Review::Project Prep::37,23,10,35
6,Supervised Learning::Instance Based Learning::38,5,8,17
6,Resume Review::Project Prep::38,23,10,35
6,Supervised Learning::Naive Bayes::39,7,5,21
6,Supervised Learning::Bayesian Learning::40,8,11,36
6,Supervised Learning::Bayesian Inference::41,10,6,19
6,Supervised Learning::Bayes NLP Mini-Project::42,4,7,26
6,Supervised Learning::Ensemble B&B::43,8,14,80
6,Supervised Learning::Project Details::44,1,,10
7,Cover Letter Review::Writing a Targeted Cover Letter::38,9,3,7
7,Cover Letter Review::Project Prep::39,1,1,2
7,Cover Letter Review::Writing a Targeted Cover Letter::39,9,3,7
7,Cover Letter Review::Project Prep::40,1,1,2
7,Resume Review::Project Prep::45,23,10,35
8,Unsupervised Learning::Introduction to Unsupervised Learning::40,9,5,5
8,Unsupervised Learning::Clustering::41,9,3,6
8,Unsupervised Learning::Introduction to Unsupervised Learning::41,9,5,5
8,Unsupervised Learning::Clustering::42,9,3,6
8,Unsupervised Learning::More Clustering::42,6,7,34
8,Unsupervised Learning::Clustering Mini-Project::43,3,3,10
8,Unsupervised Learning::More Clustering::43,6,7,34
8,Unsupervised Learning::Feature Scaling::44,3,2,7
8,Unsupervised Learning::Clustering Mini-Project::44,3,3,10
8,Unsupervised Learning::Feature Scaling::45,3,2,7
8,Unsupervised Learning::Feature Selection::45,6,3,18
8,Cover Letter Review::Writing a Targeted Cover Letter::46,9,3,7
